mean_test_score,rank_test_score,param_regressor__C,param_regressor__epsilon,param_regressor__kernel,param_regressor__tol
-1.0671039569523533,1,100.0,1.0,rbf,1e-05
-1.0671039569523533,1,300.0,1.0,rbf,1e-05
-1.0671039569523533,1,500.0,1.0,rbf,1e-05
-1.0671039569523533,1,1000.0,1.0,rbf,1e-05
-1.2764055257035856,5,100.0,0.1,rbf,1e-05
-1.3237150167816973,6,100.0,0.01,rbf,1e-05
-1.329396543496376,7,100.0,0.001,rbf,1e-05
-1.3974642206254073,8,300.0,0.1,rbf,1e-05
-1.3974642206254073,8,500.0,0.1,rbf,1e-05
-1.3974642206254073,8,1000.0,0.1,rbf,1e-05
-1.4854613587662846,11,500.0,0.01,rbf,1e-05
-1.4854613587662857,12,300.0,0.01,rbf,1e-05
-1.4854615194442151,13,1000.0,0.01,rbf,1e-05
-1.494747936835055,14,1000.0,0.001,rbf,1e-05
-1.494747941538725,15,300.0,0.001,rbf,1e-05
-1.4947479415387286,16,500.0,0.001,rbf,1e-05
